index,question,input,answer,qa_id
0,What is The name of the contract?,"Highlight the parts (if any) of this contract related to ""Document Name"" that should be reviewed by a lawyer. Details: The name of the contract",STRATEGIC ALLIANCE AGREEMENT,ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Document Name
1,What is The two or more parties who signed the contract?,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Dialog Semiconductor (UK) Ltd.,ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Parties
2,What is The two or more parties who signed the contract?,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",DIALOG,ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Parties
3,What is The two or more parties who signed the contract?,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Energous Corporation,ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Parties
4,What is The two or more parties who signed the contract?,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",ENERGOUS,ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Parties
5,What is The date of the contract?,"Highlight the parts (if any) of this contract related to ""Agreement Date"" that should be reviewed by a lawyer. Details: The date of the contract","November 6, 2016",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Agreement Date
6,What is The date when the contract is effective?,"Highlight the parts (if any) of this contract related to ""Effective Date"" that should be reviewed by a lawyer. Details: The date when the contract is effective ","November 6, 2016",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Effective Date
7,On what date will the contract's initial term expire?,"Highlight the parts (if any) of this contract related to ""Expiration Date"" that should be reviewed by a lawyer. Details: On what date will the contract's initial term expire?","Unless earlier terminated as provided herein, this Agreement continues in effect for an initial term of seven (7) years (""Initial Term"") and will automatically renew for one or more annual periods after the Initial Term (each a ""Renewal Term"") unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any Renewal Term.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Expiration Date
8,What is the renewal term after the initial term expires? This includes automatic extensions and unilateral extensions with prior notice.,"Highlight the parts (if any) of this contract related to ""Renewal Term"" that should be reviewed by a lawyer. Details: What is the renewal term after the initial term expires? This includes automatic extensions and unilateral extensions with prior notice.","Unless earlier terminated as provided herein, this Agreement continues in effect for an initial term of seven (7) years (""Initial Term"") and will automatically renew for one or more annual periods after the Initial Term (each a ""Renewal Term"") unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any Renewal Term.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Renewal Term
9,What is the notice period required to terminate renewal?,"Highlight the parts (if any) of this contract related to ""Notice Period To Terminate Renewal"" that should be reviewed by a lawyer. Details: What is the notice period required to terminate renewal?","Unless earlier terminated as provided herein, this Agreement continues in effect for an initial term of seven (7) years (""Initial Term"") and will automatically renew for one or more annual periods after the Initial Term (each a ""Renewal Term"") unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any Renewal Term.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Notice Period To Terminate Renewal
