question,ref_answer,response,semantic_similarity,token_overlap_recall,rouge_l_recall
What is The name of the contract?,STRATEGIC ALLIANCE AGREEMENT,"```
The name of the contract is the ""Agreement"" or the ""Master Agreement"" between ENERGOUS CORPORATION and DIALOG SEMICONDUCTOR (UK) LTD.  It is not explicitly stated in the provided documents, but it can be inferred from the context and the fact that it is signed by both parties.  The contract appears to be a master agreement that outlines the terms and conditions of their partnership, including the supply of products, confidentiality, and non-solicitation of employees.  It also includes provisions for termination, assignment, and notice of merger or acquisition.  The contract is effective as of the """,0.421582959753077,0.3333333333333333,0
What is The two or more parties who signed the contract?,"Dialog Semiconductor (UK) Ltd., DIALOG, Energous Corporation, ENERGOUS","[INST] >
The two or more parties who signed the contract are Dialog Semiconductor (UK) Ltd and Energous Corporation. They are the parties that have entered into a Strategic Alliance Agreement dated November 6, 2016. The agreement was signed by Stephen R. Rizzore, President and Chief Executive Officer of Energous Corporation, and Mark Tyndall, SVP Corporate Development and Strategy of Dialog Semiconductor (UK) Ltd. [/INST]
[SYS] >[/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST",0.646576140283667,0.75,0.6666666666666666
What is The date of the contract?,"November 6, 2016","[INST] >


[/INST]
[INST] >


[/INST]
[INST] >


[/INST]
[INST] >


[/INST]
[INST] >


[/INST]
[INST] >


[/INST]
[INST] >


</",0.21548122990602114,0.0,0
What is The date when the contract is effective?,"November 6, 2016","Answer: The date when the contract is effective is the ""Effective Date"" which is not specified in the provided documents.[/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/",0.08297561151769606,0.0,0
On what date will the contract's initial term expire?,"Unless earlier terminated as provided herein, this Agreement continues in effect for an initial term of seven (7) years (""Initial Term"") and will automatically renew for one or more annual periods after the Initial Term (each a ""Renewal Term"") unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any Renewal Term.","Answer: The initial term of the contract will expire on the seventh year from the Effective Date.
[/INST]```
``
``
``
``
``
``
``
``
``
``
``
``
``
``
``
``
``
``
``
``
``
``
``
``
</",0.5679773979608456,0.05,0.09259259259259259
What is the renewal term after the initial term expires? This includes automatic extensions and unilateral extensions with prior notice.,"Unless earlier terminated as provided herein, this Agreement continues in effect for an initial term of seven (7) years (""Initial Term"") and will automatically renew for one or more annual periods after the Initial Term (each a ""Renewal Term"") unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any Renewal Term.","[INST] >
The renewal term after the initial term expires is one or more annual periods, unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any Renewal Term. This means that the agreement will automatically renew for one or more annual periods after the initial term, unless either party decides to terminate the agreement with prior notice. [/INST]
[/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/",0.7695834276151426,0.55,0.5925925925925926
What is the notice period required to terminate renewal?,"Unless earlier terminated as provided herein, this Agreement continues in effect for an initial term of seven (7) years (""Initial Term"") and will automatically renew for one or more annual periods after the Initial Term (each a ""Renewal Term"") unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any Renewal Term.","Answer:
The notice period required to terminate a renewal is one hundred eighty (180) days prior to the beginning of any Renewal Term. This is stated in Section 15.1 of the agreement.",0.4715404095844893,0.275,0.2777777777777778
Which state/country's law governs the interpretation of the contract?,"This Letter of Authorization will be governed by and construed in accordance with the laws of California, excluding its conflict of laws provisions, and be subject to the non-exclusive jurisdiction of the California courts., This Agreement will be governed by and construed in accordance with the laws of the State of California, exclusive of conflict of laws principles.","According to Section 19.1 of the contract, the laws of the State of California will govern the interpretation of the contract, exclusive of conflict of laws principles.[/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/INST] [/SYS] [/",0.6486374747361402,0.2222222222222222,0.25806451612903225
Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector?,"Until expiration or earlier termination of the Agreement, DIALOG agrees that it and its Affiliates will not, without ENERGOUS' written approval, intentionally sell, distribute or work with any third party to develop products incorporating any Uncoupled Power Transfer Technology other than Licensed Products; provided, however, that DIALOG shall not be under any such restrictions in relation to services or products it provides to the Key Customer in the event the Key Customer terminates its agreement with ENERGOUS., DIALOG will have the right to terminate this Agreement immediately upon the issuance of written notice to ENERGOUS (A) if ENERGOUS undergoes a Change of Control involving a competitor of DIALOG, or (B) if ENERGOUS acquires, whether directly through a sale of assets or through a Change of Control transaction, any competitor of DIALOG (as reasonably determined by DIALOG). ENERGOUS will provide DIALOG with notice of any such Change of Control or acquisition within [***] after the closing thereof and DIALOG's right to terminate the Agreement will expire [***] after receipt of such notice., ENERGOUS will have the right to terminate this Agreement, upon not less than [***] prior written notice to DIALOG, in the event that, following termination by the [***] of its agreement with ENERGOUS, DIALOG participates in or indicates its intention to participate in the development, design or manufacture of products incorporating Uncoupled Power Transfer Technology not provided by ENERGOUS to [***].","[INST] >
Yes, there are restrictions on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector.

From Section 2.5, it is clear that ENERGOUS will not, and will not enable any Semiconductor Supplier, to manufacture, have manufactured, offer for sale, sell, import or export the Products or Product Die in commercial volumes, except a Semiconductor Supplier to the Key Customer for use in the Excluded Applications.

Additionally, from Section 8.2, it is clear that DIALOG agrees that it and its Affiliates will not,",0.4664136027677155,0.10569105691056911,0.19298245614035087
"Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).","If DIALOG decides to discontinue Sales of any Product, it will notify ENERGOUS at least [***] prior to such discontinuance, and following such notification, the exclusivity rights, if any, associated with that Product will cease; provided, however, this provision will not apply in the event that DIALOG continues Sales of Product Updates, repackaged Product Dies or MCMs., Subject to paragraph (b) of this Section 2.5, ENERGOUS will not, and will not enable any Semiconductor Supplier, to manufacture, have manufactured, offer for sale, sell, import or export the Products or Product Die in commercial volumes, except a Semiconductor Supplier to the Key Customer for use in the Excluded Applications.","[INST] >
Yes, there is an exclusive dealing commitment with the counterparty. Specifically, Section 2.5 of the agreement states that ENERGOUS will not, and will not enable any Semiconductor Supplier, to manufacture, have manufactured, offer for sale, sell, import or export the Products or Product Die in commercial volumes, except a Semiconductor Supplier to the Key Customer for use in the Excluded Applications. This suggests that ENERGOUS has committed to procuring all requirements for the Products or Product Die from DIALOG, and not from any other party. Additionally, Section 2.1(a) states",0.5990890581871867,0.4166666666666667,0.5128205128205128
