question,ref_answer,response,semantic_similarity,token_overlap_recall,rouge_l_recall
What is The name of the contract?,STRATEGIC ALLIANCE AGREEMENT,STRATEGIC ALLIANCE AGREEMENT,1.000000238418579,1.0,1.0
What is The two or more parties who signed the contract?,"Dialog Semiconductor (UK) Ltd., DIALOG, Energous Corporation, ENERGOUS","DIALOG SEMICONDUCTOR (PENANG) SDN BHD, DIALOG SEMICONDUCTOR (CAMBODIA) LIMITED, DIALOG SEMICONDUCTOR (THAILAND) LIMITED, DIALOG SEMICONDUCTOR (SHENZHEN) LIMITED, DIALOG SEMICONDUCTOR INC., DIALOG SEMICONDUCTOR (TAIWAN) INC., DIALOG SEMICONDUCTOR (SINGAPORE) PTE LTD, DIALOG SEMICONDUCTOR (HONG KONG) LIMITED, DIALOG SEMICONDUCTOR (KOREA) INC., DIALOG SEMICONDUCTOR (MALAYSIA) SDN BHD, DIALOG SEMICONDUCTOR (PHILIPPINES) INC., DIALOG SEMICONDUCTOR (INDIA) PVT LTD, DIALOG SEMICONDUCTOR (CHINA) INC., DIALOG SEMICONDUCTOR (JAPAN) KK, DIALOG SEMICONDUCTOR (TAIWAN) INC., DIALOG SEMICONDUCTOR (SINGAPORE) PTE LTD, DIALOG SEMICONDUCTOR (HONG KONG) LIMITED, DIALOG SEMICONDUCTOR (KOREA) INC., DIALOG SEMICONDUCTOR (MALAYSIA",0.6600068807601929,0.375,0.1111111111111111
What is The date of the contract?,"November 6, 2016","October 1, 2016",0.24634456634521484,0.3333333333333333,0.3333333333333333
What is The date when the contract is effective?,"November 6, 2016","November 6, 2016",1.0000001192092896,1.0,1.0
On what date will the contract's initial term expire?,"Unless earlier terminated as provided herein, this Agreement continues in effect for an initial term of seven (7) years (""Initial Term"") and will automatically renew for one or more annual periods after the Initial Term (each a ""Renewal Term"") unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any Renewal Term.","Unless earlier terminated as provided herein, this Agreement continues in effect for an initial term of seven (7) years (""Initial Term"") and will automatically renew for one or more annual periods after the Initial Term (each a ""Renewal Term"") unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any Renewal Term.",1.0000001192092896,0.775,1.0
What is the renewal term after the initial term expires? This includes automatic extensions and unilateral extensions with prior notice.,"Unless earlier terminated as provided herein, this Agreement continues in effect for an initial term of seven (7) years (""Initial Term"") and will automatically renew for one or more annual periods after the Initial Term (each a ""Renewal Term"") unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any Renewal Term.","Unless earlier terminated as provided herein, this Agreement continues in effect for an initial term of seven (7) years (""Initial Term"") and will automatically renew for one or more annual periods after the Initial Term (each a ""Renewal Term"") unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any Renewal Term.",1.0000001192092896,0.775,1.0
What is the notice period required to terminate renewal?,"Unless earlier terminated as provided herein, this Agreement continues in effect for an initial term of seven (7) years (""Initial Term"") and will automatically renew for one or more annual periods after the Initial Term (each a ""Renewal Term"") unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any Renewal Term.","Unless earlier terminated as provided herein, this Agreement continues in effect for an initial term of seven (7) years (""Initial Term"") and will automatically renew for one or more annual periods after the Initial Term (each a ""Renewal Term"") unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any Renewal Term.",1.0000001192092896,0.775,1.0
Which state/country's law governs the interpretation of the contract?,"This Letter of Authorization will be governed by and construed in accordance with the laws of California, excluding its conflict of laws provisions, and be subject to the non-exclusive jurisdiction of the California courts., This Agreement will be governed by and construed in accordance with the laws of the State of California, exclusive of conflict of laws principles.","This Letter of Authorization will be governed by and construed in accordance with the laws of California, excluding its conflict of laws provisions, and be subject to the non-exclusive jurisdiction of the California courts.",0.9424545764923096,0.5185185185185185,0.8387096774193549
Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector?,"Until expiration or earlier termination of the Agreement, DIALOG agrees that it and its Affiliates will not, without ENERGOUS' written approval, intentionally sell, distribute or work with any third party to develop products incorporating any Uncoupled Power Transfer Technology other than Licensed Products; provided, however, that DIALOG shall not be under any such restrictions in relation to services or products it provides to the Key Customer in the event the Key Customer terminates its agreement with ENERGOUS., DIALOG will have the right to terminate this Agreement immediately upon the issuance of written notice to ENERGOUS (A) if ENERGOUS undergoes a Change of Control involving a competitor of DIALOG, or (B) if ENERGOUS acquires, whether directly through a sale of assets or through a Change of Control transaction, any competitor of DIALOG (as reasonably determined by DIALOG). ENERGOUS will provide DIALOG with notice of any such Change of Control or acquisition within [***] after the closing thereof and DIALOG's right to terminate the Agreement will expire [***] after receipt of such notice., ENERGOUS will have the right to terminate this Agreement, upon not less than [***] prior written notice to DIALOG, in the event that, following termination by the [***] of its agreement with ENERGOUS, DIALOG participates in or indicates its intention to participate in the development, design or manufacture of products incorporating Uncoupled Power Transfer Technology not provided by ENERGOUS to [***].","2.4. During the Term and for a period of [***], after the end of the Term, ENERGOUS and its Affiliates will not directly or indirectly engage in the Design, manufacture, sell, offer for sale, import or export any Products or Product Components that are Functionally Equivalent to any Product or Product Component, except as provided in Section 2.4(d).",0.45724648237228394,0.07317073170731707,0.14035087719298245
"Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).","If DIALOG decides to discontinue Sales of any Product, it will notify ENERGOUS at least [***] prior to such discontinuance, and following such notification, the exclusivity rights, if any, associated with that Product will cease; provided, however, this provision will not apply in the event that DIALOG continues Sales of Product Updates, repackaged Product Dies or MCMs., Subject to paragraph (b) of this Section 2.5, ENERGOUS will not, and will not enable any Semiconductor Supplier, to manufacture, have manufactured, offer for sale, sell, import or export the Products or Product Die in commercial volumes, except a Semiconductor Supplier to the Key Customer for use in the Excluded Applications.","2.4(d) ENERGOUS hereby grants DIALOG a non-exclusive (subject to Section 2.4(f)) irrevocable worldwide right during the Term (and, as to enforcement sub-license rights only, for DIALOG's and its Affiliates' sublicensees' and their respective successors' and assigns' use through any Wind Down Period and, as to non- enforcement sub-license rights only, not including any Wind Down Period or continuation period, if any, under Section 18.4) to use any  Deposit Materials, including any Intellectual Property Rights therein, for the  purpose of receiving and processing DIALOG's Orders hereunder.",0.5386141538619995,0.1,0.16666666666666666
